snow	(255, 250, 250)	(FF, FA, FA)	(1.00, 0.98, 0.98)
GhostWhite	(248, 248, 255)	(F8, F8, FF)	(0.97, 0.97, 1.00)
WhiteSmoke	(245, 245, 245)	(F5, F5, F5)	(0.96, 0.96, 0.96)
gainsboro	(220, 220, 220)	(DC, DC, DC)	(0.86, 0.86, 0.86)
FloralWhite	(255, 250, 240)	(FF, FA, F0)	(1.00, 0.98, 0.94)
OldLace	(253, 245, 230)	(FD, F5, E6)	(0.99, 0.96, 0.90)
linen	(250, 240, 230)	(FA, F0, E6)	(0.98, 0.94, 0.90)
AntiqueWhite	(250, 235, 215)	(FA, EB, D7)	(0.98, 0.92, 0.84)
PapayaWhip	(255, 239, 213)	(FF, EF, D5)	(1.00, 0.94, 0.84)
BlanchedAlmond	(255, 235, 205)	(FF, EB, CD)	(1.00, 0.92, 0.80)
bisque	(255, 228, 196)	(FF, E4, C4)	(1.00, 0.89, 0.77)
PeachPuff	(255, 218, 185)	(FF, DA, B9)	(1.00, 0.85, 0.73)
NavajoWhite	(255, 222, 173)	(FF, DE, AD)	(1.00, 0.87, 0.68)
moccasin	(255, 228, 181)	(FF, E4, B5)	(1.00, 0.89, 0.71)
cornsilk	(255, 248, 220)	(FF, F8, DC)	(1.00, 0.97, 0.86)
ivory	(255, 255, 240)	(FF, FF, F0)	(1.00, 1.00, 0.94)
LemonChiffon	(255, 250, 205)	(FF, FA, CD)	(1.00, 0.98, 0.80)
seashell	(255, 245, 238)	(FF, F5, EE)	(1.00, 0.96, 0.93)
honeydew	(240, 255, 240)	(F0, FF, F0)	(0.94, 1.00, 0.94)
MintCream	(245, 255, 250)	(F5, FF, FA)	(0.96, 1.00, 0.98)
azure	(240, 255, 255)	(F0, FF, FF)	(0.94, 1.00, 1.00)
AliceBlue	(240, 248, 255)	(F0, F8, FF)	(0.94, 0.97, 1.00)
lavender	(230, 230, 250)	(E6, E6, FA)	(0.90, 0.90, 0.98)
LavenderBlush	(255, 240, 245)	(FF, F0, F5)	(1.00, 0.94, 0.96)
MistyRose	(255, 228, 225)	(FF, E4, E1)	(1.00, 0.89, 0.88)
white	(255, 255, 255)	(FF, FF, FF)	(1.00, 1.00, 1.00)
black	(0, 0, 0)	(00, 00, 00)	(0.00, 0.00, 0.00)
DarkSlateGray	(47, 79, 79)	(2F, 4F, 4F)	(0.18, 0.31, 0.31)
DimGray	(105, 105, 105)	(69, 69, 69)	(0.41, 0.41, 0.41)
SlateGray	(112, 128, 144)	(70, 80, 90)	(0.44, 0.50, 0.56)
LightSlateGray	(119, 136, 153)	(77, 88, 99)	(0.47, 0.53, 0.60)
gray	(190, 190, 190)	(BE, BE, BE)	(0.75, 0.75, 0.75)
LightGray	(211, 211, 211)	(D3, D3, D3)	(0.83, 0.83, 0.83)
MidnightBlue	(25, 25, 112)	(19, 19, 70)	(0.10, 0.10, 0.44)
navy	(0, 0, 128)	(00, 00, 80)	(0.00, 0.00, 0.50)
